A_SECTOR,SHELF,REEF,REPORT_YEAR,SITE_NO,TRANSECT_NO,FAMILY_2021,GROUP_CODE,COMP_2021,COMP_2021_DESCRIPTION,VISIT_NO,cover,cREPORT_YEAR
CL,M,Lizard Isles,1995,1,1,Tubiporidae,SC,SC_OTH,Other soft coral,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Udoteaceae,A,MA_GREEN,Green Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Xeniidae,SC,F_SC_XEN,Xeniidae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,,AB,AB,Abiotic,3,8.0,1995
CL,M,Lizard Isles,1995,1,2,Acanthasteridae,OT,OT,Other organisms,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Acroporidae,HC,ACBX,Acropora branching & bottlebrush,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Acroporidae,HC,ACD,Acropora digitate,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Acroporidae,HC,ACSE,Acropora submassive & encrusting,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Acroporidae,HC,ACTO,Acropora tabulate & corymbose,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Acroporidae,HC,COR_CBCF,non-Acropora coral branching & foliose,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Acroporidae,HC,G_AST,Astreopora,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Acroporidae,HC,G_ISO_B,Isopora branching,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Acroporidae,HC,G_ISO_CSE,Isopora encrusting-submassive,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Acroporidae,HC,G_MON,Montipora,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Adeonidae,OT,OT,Other organisms,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Agariciidae,HC,F_AGA_CEMS,Agariciidae encrusting & submassive,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Agariciidae,HC,F_AGA_CF,Agariciidae foliose,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Alcyoniidae,SC,F_SC_ALC,Alcyoniidae,3,4.0,1995
CL,M,Lizard Isles,1995,1,2,Alcyoniidae,SC,SC_OTH_E,Other encrusting soft coral,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Anthothelidae,SC,SC_OTH_E,Other encrusting soft coral,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Antipathidae,OT,OT,Other organisms,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Astrocoeniidae,HC,COR_CBCF,non-Acropora coral branching & foliose,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Astrocoeniidae,HC,COR_CE,non-Acropora coral encrusting,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Benthos,A,MA_OTH,Other Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Bonnemaisoniaceae,A,MA_RED,Red Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Briareidae,SC,SC_OTH_E,Other encrusting soft coral,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Caryophylliidae,HC,COR_CL,Solitary coral,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Caulerpaceae,A,MA_GREEN,Green Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Chalinidae,SP,SP,Sponges & Ascidians,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Cidaridae,OT,OT,Other organisms,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Class,A,MA_BROWN,Brown Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Class,OT,OT,Other organisms,3,0.666666666666667,1995
CL,M,Lizard Isles,1995,1,2,Class,OT,SP,Sponges & Ascidians,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Class,SC,SC_GORG_LIKE,Gorgonian like soft coral,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Class,SC,SC_OTH,Other soft coral,3,22.6666666666667,1995
CL,M,Lizard Isles,1995,1,2,Class,SC,SC_OTH_E,Other encrusting soft coral,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Clavulariidae,SC,SC_OTH_E,Other encrusting soft coral,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Clionaidae,SP,SP,Sponges & Ascidians,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Codiacae,A,MA_GREEN,Green Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Coscinaraeidae,HC,F_SID_COS_PSA,Siderastreidae Coscinaraeidae Psammocoridae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Cystocloniaceae,A,MA_RED,Red Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Dasycladaceae,A,MA_GREEN,Green Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Dendrophylliidae,HC,COR_CE,non-Acropora coral encrusting,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Dendrophylliidae,HC,G_TUB_HET,Tubastrea Heteropsammia,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Dendrophylliidae,HC,G_TUR_DUN,Turbinaria and Duncanopsammia,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Diadematidae,OT,OT,Other organisms,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Dictyotaceae,A,MA_BROWN,Brown Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Didemnidae,OT,SP,Sponges & Ascidians,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Diploastraeidae,HC,G_DIP,Diploastrea,3,5.33333333333333,1995
CL,M,Lizard Isles,1995,1,2,Ellisellidae,SC,SC_GORG_LIKE,Gorgonian like soft coral,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Euphylliidae,HC,F_EUPH_PLU,Plerogyridae and Euphylliidae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Euphylliidae,HC,G_GAL,Galaxea,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Family,OT,OT,Other organisms,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Fungiidae,HC,F_FUN_CECF,Fungiidae encrusting & foliose,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Fungiidae,HC,F_FUN_CMR,Fungiidae free-living,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Gorgoniidae,SC,SC_GORG_LIKE,Gorgonian like soft coral,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Group,A,TA,Turf algae,3,55.3333333333333,1995
CL,M,Lizard Isles,1995,1,2,Group,OT,OT,Other organisms,3,3.33333333333333,1995
CL,M,Lizard Isles,1995,1,2,Halimedaceae,A,MA_GREEN,Green Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Helioporidae,SC,G_HEL,Heliopora,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Hydrocharitaceae,SG,SG,Seagrass,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Hydrolithaceae,A,CA,Coralline algae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,INCERTAE SEDIS,HC,G_PAC,Pachyseris,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Isididae,SC,SC_GORG_LIKE,Gorgonian like soft coral,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Leptastreidae,HC,G_LEP,Leptastrea,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Liagoraceae,A,MA_RED,Red Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Lithophyllaceae,A,MA_RED,Red Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Lobophylliidae,HC,COR_CL,Solitary coral,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Lobophylliidae,HC,G_ACA_MIC_HOM,Acanthastea Micromussa Homophyllia,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Lobophylliidae,HC,G_LOB_AUST,Lobophyllia Australophyllia & A. pachysepta,3,0.666666666666667,1995
CL,M,Lizard Isles,1995,1,2,Lobophylliidae,HC,G_MOS,Moseleya,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Lobophylliidae,HC,G_OXY_ECL_ECY,Oxypora Echinophyllia Echinomorpha,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Merulinidae,HC,COR_CL,Solitary coral,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Merulinidae,HC,F_MER_CEMS,"Merulinidae encrusting, massive & sub-massive",3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Merulinidae,HC,F_MER_PLE_PLOC,Merulinidae Plesiastreidae plocoid,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Merulinidae,HC,G_ECH_CB,Echinopora branching,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Merulinidae,HC,G_ECH_OTH,Echinopora encrusting & foliose,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Merulinidae,HC,G_HYD_CB,Hydnophora branching,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Merulinidae,HC,G_HYD_OTH,Hydnophora not branching,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Merulinidae,HC,G_MER,Merulina,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Merulinidae,HC,G_MYC,Mycedium,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Merulinidae,HC,G_PEC,Pectinia,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Milleporidae,OT,G_MIL,Millepora,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Nephtheidae,SC,F_SC_NEP,Nephtheidae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Non-Acropora coral,HC,COR_CBCF,non-Acropora coral branching & foliose,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Non-Acropora coral,HC,COR_CE,non-Acropora coral encrusting,3,1.33333333333333,1995
CL,M,Lizard Isles,1995,1,2,Non-Acropora coral,HC,COR_CMCS,non-Acropora coral massive & sub-massive,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Order,A,CA,Coralline algae,3,0.666666666666667,1995
CL,M,Lizard Isles,1995,1,2,Order,OT,OT,Other organisms,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Order,OT,ZOA,Zoanthids,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Order,SC,SC_OTH_E,Other encrusting soft coral,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Order,SG,SG,Seagrass,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Peyssonneliaceae,A,MA_RED,Red Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Phylum,A,MA_GREEN,Green Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Phylum,A,MA_RED,Red Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Phylum,A,TA,Turf algae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Phylum,OT,OT,Other organisms,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Phylum,SP,SP,Sponges & Ascidians,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Plerogyridae,HC,F_EUPH_PLU,Plerogyridae and Euphylliidae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Plesiastreidae,HC,F_MER_PLE_PLOC,Merulinidae Plesiastreidae plocoid,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Pocilloporidae,HC,G_POC,Pocillopora,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Pocilloporidae,HC,G_SER,Seriatopora,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Pocilloporidae,HC,G_STY,Stylophora,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Poritidae,HC,G_GON_ALV_BER,"Goniopora, Alveopora & Bernardpora",3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Poritidae,HC,G_POR_B,Porites branching,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Poritidae,HC,G_POR_CECS,Porites encrusting & sub-massive,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Poritidae,HC,G_POR_M,Porites massive,3,1.33333333333333,1995
CL,M,Lizard Isles,1995,1,2,Poritidae,HC,S_POR_RUS,Porites rus,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Psammocoridae,HC,F_SID_COS_PSA,Siderastreidae Coscinaraeidae Psammocoridae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Rhizangiidae,HC,F_SID_COS_PSA,Siderastreidae Coscinaraeidae Psammocoridae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Rhodomelaceae,A,MA_RED,Red Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Rhodymeniaceae,A,MA_RED,Red Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Sarcinochrysidaceae,A,MA_OTH,Other Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Sargassaceae,A,MA_BROWN,Brown Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Scytosiphonacae,A,MA_BROWN,Brown Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Serpulidae,OT,OT,Other organisms,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Siderastreidae,HC,F_SID_COS_PSA,Siderastreidae Coscinaraeidae Psammocoridae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Solieriaceae,A,MA_RED,Red Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Spongiidae,SP,SP,Sponges & Ascidians,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Stylasteridae,OT,OT,Other organisms,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Subphylum,OT,OT,Other organisms,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Superclass,OT,IN,Indeterminate,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Tridacninae,OT,OT,Other organisms,3,0.0,1995
CL,M,Lizard Isles,1995,1,2,Trochidae,OT,OT,Other organisms,3,0.0,1995
